GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06
1400000US36005004001,36005004001,"Census Tract 40.01, Bronx County, New York",506,36,(X),(X),51,29,10.1,5.7,262,60,51.8,11.1,30,23,11.5,8.7,54,28,10.7,5.5,9,9,16.7,17.5,29,28,5.7,5.6,6,8,20.7,25.5,6,9,1.2,1.8,6,9,100.0,100.0
1400000US36005004100,36005004100,"Census Tract 41, Bronx County, New York",2054,106,(X),(X),665,163,32.4,7.7,1570,176,76.4,7.1,645,160,41.1,9.7,20,26,1.0,1.3,0,16,0.0,63.7,20,26,1.0,1.3,20,26,100.0,63.7,36,60,1.8,2.9,0,16,0.0,47.5
1400000US36005004200,36005004200,"Census Tract 42, Bronx County, New York",2748,74,(X),(X),258,112,9.4,4.1,1224,167,44.5,6.0,224,103,18.3,8.1,12,20,0.4,0.7,0,16,0.0,82.3,47,45,1.7,1.6,19,30,40.4,47.9,79,85,2.9,3.1,15,26,19.0,39.5
1400000US36005004300,36005004300,"Census Tract 43, Bronx County, New York",2044,77,(X),(X),606,112,29.6,5.5,1281,125,62.7,5.6,590,113,46.1,7.6,95,47,4.6,2.3,16,24,16.8,27.9,0,16,0.0,1.5,0,16,-,**,7,12,0.3,0.6,0,16,0.0,100.0
1400000US36005004400,36005004400,"Census Tract 44, Bronx County, New York",1635,64,(X),(X),267,96,16.3,5.8,920,103,56.3,6.0,256,93,27.8,9.6,30,25,1.8,1.5,11,18,36.7,53.9,0,11,0.0,1.8,0,11,-,**,0,11,0.0,1.8,0,11,-,**
1400000US36005004600,36005004600,"Census Tract 46, Bronx County, New York",698,31,(X),(X),113,53,16.2,7.5,389,68,55.7,9.4,113,53,29.0,13.7,0,11,0.0,4.2,0,11,-,**,0,11,0.0,4.2,0,11,-,**,4,7,0.6,1.0,0,11,0.0,100.0
1400000US36005004800,36005004800,"Census Tract 48, Bronx County, New York",1328,62,(X),(X),372,112,28.0,8.2,941,97,70.9,6.8,340,99,36.1,9.4,33,38,2.5,2.9,0,11,0.0,49.6,0,11,0.0,2.2,0,11,-,**,54,46,4.1,3.4,32,36,59.3,42.0
1400000US36005005001,36005005001,"Census Tract 50.01, Bronx County, New York",1602,54,(X),(X),360,102,22.5,6.4,1019,98,63.6,5.8,343,95,33.7,9.3,52,40,3.2,2.5,17,27,32.7,44.8,0,16,0.0,1.9,0,16,-,**,40,40,2.5,2.5,0,16,0.0,45.1
1400000US36005005002,36005005002,"Census Tract 50.02, Bronx County, New York",1860,111,(X),(X),724,159,38.9,8.2,1335,141,71.8,6.5,674,154,50.5,9.8,85,57,4.6,3.0,27,33,31.8,34.5,0,16,0.0,1.6,0,16,-,**,59,47,3.2,2.5,23,33,39.0,45.6
1400000US36005005100,36005005100,"Census Tract 51, Bronx County, New York",1984,67,(X),(X),342,114,17.2,5.7,1275,118,64.3,5.9,342,114,26.8,8.2,24,26,1.2,1.3,0,16,0.0,58.2,0,16,0.0,1.5,0,16,-,**,0,16,0.0,1.5,0,16,-,**
1400000US36005005200,36005005200,"Census Tract 52, Bronx County, New York",832,25,(X),(X),177,64,21.3,7.7,522,63,62.7,7.1,177,64,33.9,12.0,12,12,1.4,1.5,0,11,0.0,82.3,0,11,0.0,3.5,0,11,-,**,0,11,0.0,3.5,0,11,-,**
1400000US36005005300,36005005300,"Census Tract 53, Bronx County, New York",1485,74,(X),(X),288,108,19.4,7.0,612,95,41.2,6.1,256,104,41.8,12.9,31,40,2.1,2.7,24,38,77.4,50.7,0,11,0.0,2.0,0,11,-,**,78,56,5.3,3.8,8,12,10.3,17.9
1400000US36005005400,36005005400,"Census Tract 54, Bronx County, New York",1747,103,(X),(X),439,111,25.1,6.3,1219,144,69.8,7.0,420,111,34.5,8.3,66,43,3.8,2.5,10,15,15.2,23.0,9,15,0.5,0.9,9,15,100.0,95.0,49,35,2.8,2.0,0,16,0.0,40.7
1400000US36005005600,36005005600,"Census Tract 56, Bronx County, New York",908,47,(X),(X),261,71,28.7,7.6,557,67,61.3,5.7,248,72,44.5,10.9,32,20,3.5,2.3,7,11,21.9,31.7,0,11,0.0,3.2,0,11,-,**,19,18,2.1,2.0,6,10,31.6,44.6
1400000US36005005902,36005005902,"Census Tract 59.02, Bronx County, New York",1075,64,(X),(X),313,110,29.1,9.9,648,93,60.3,7.3,307,109,47.4,13.8,0,11,0.0,2.7,0,11,-,**,10,15,0.9,1.4,0,11,0.0,90.1,30,20,2.8,1.8,6,12,20.0,37.7
1400000US36005006000,36005006000,"Census Tract 60, Bronx County, New York",340,31,(X),(X),40,26,11.8,7.5,247,31,72.6,7.8,36,24,14.6,9.3,7,9,2.1,2.5,0,11,0.0,100.0,8,9,2.4,2.6,4,7,50.0,50.0,11,13,3.2,3.9,0,11,0.0,85.9
1400000US36005006100,36005006100,"Census Tract 61, Bronx County, New York",2175,153,(X),(X),135,96,6.2,4.3,340,159,15.6,7.1,102,91,30.0,21.4,36,42,1.7,1.9,20,32,55.6,55.6,0,11,0.0,1.4,0,11,-,**,32,44,1.5,2.0,13,23,40.6,54.6
1400000US36005006200,36005006200,"Census Tract 62, Bronx County, New York",2402,114,(X),(X),622,190,25.9,7.7,1531,164,63.7,6.1,585,186,38.2,11.3,57,44,2.4,1.8,23,38,40.4,53.3,14,21,0.6,0.9,14,21,100.0,76.1,44,51,1.8,2.1,0,16,0.0,43.0
1400000US36005006300,36005006300,"Census Tract 63, Bronx County, New York",1839,101,(X),(X),466,113,25.3,6.0,1075,131,58.5,6.1,419,106,39.0,8.8,53,41,2.9,2.2,0,11,0.0,39.1,60,48,3.3,2.6,18,16,30.0,29.9,83,52,4.5,2.8,29,31,34.9,37.7
1400000US36005006400,36005006400,"Census Tract 64, Bronx County, New York",1284,101,(X),(X),188,105,14.6,8.1,691,148,53.8,9.8,174,109,25.2,14.3,41,39,3.2,3.1,14,19,34.1,48.5,0,11,0.0,2.3,0,11,-,**,10,16,0.8,1.2,0,11,0.0,90.1
1400000US36005006500,36005006500,"Census Tract 65, Bronx County, New York",1927,64,(X),(X),529,137,27.5,7.1,1133,129,58.8,6.4,483,130,42.6,9.5,40,32,2.1,1.7,0,16,0.0,45.1,10,14,0.5,0.7,0,16,0.0,90.1,118,73,6.1,3.8,46,40,39.0,28.5
1400000US36005006700,36005006700,"Census Tract 67, Bronx County, New York",2322,139,(X),(X),828,195,35.7,8.4,1663,184,71.6,6.1,728,200,43.8,10.7,73,80,3.1,3.4,0,16,0.0,32.3,0,16,0.0,1.3,0,16,-,**,122,99,5.3,4.3,100,96,82.0,33.1
1400000US36005006800,36005006800,"Census Tract 68, Bronx County, New York",992,64,(X),(X),214,82,21.6,8.5,439,102,44.3,9.4,127,72,28.9,15.1,84,52,8.5,5.3,52,40,61.9,28.2,28,26,2.8,2.6,7,11,25.0,40.1,80,51,8.1,5.3,28,31,35.0,35.0
1400000US36005006900,36005006900,"Census Tract 69, Bronx County, New York",2633,128,(X),(X),635,159,24.1,5.8,1427,193,54.2,6.5,526,142,36.9,9.6,58,69,2.2,2.6,0,16,0.0,37.4,7,18,0.3,0.7,0,16,0.0,100.0,230,104,8.7,4.0,109,72,47.4,27.4
1400000US36005007000,36005007000,"Census Tract 70, Bronx County, New York",1361,80,(X),(X),244,90,17.9,6.5,828,127,60.8,8.0,209,88,25.2,9.9,105,49,7.7,3.7,8,13,7.6,11.5,0,11,0.0,2.2,0,11,-,**,27,31,2.0,2.3,27,31,100.0,54.8
1400000US36005007100,36005007100,"Census Tract 71, Bronx County, New York",946,43,(X),(X),162,63,17.1,6.5,559,86,59.1,8.0,153,64,27.4,10.3,44,34,4.7,3.6,9,14,20.5,29.5,7,11,0.7,1.2,0,11,0.0,100.0,13,14,1.4,1.5,0,11,0.0,79.0
1400000US36005007200,36005007200,"Census Tract 72, Bronx County, New York",1704,80,(X),(X),252,89,14.8,5.2,900,143,52.8,7.4,190,80,21.1,8.3,284,76,16.7,4.6,49,49,17.3,15.6,36,26,2.1,1.5,13,16,36.1,34.5,134,77,7.9,4.5,0,16,0.0,19.9
1400000US36005007300,36005007300,"Census Tract 73, Bronx County, New York",1322,88,(X),(X),330,110,25.0,8.2,660,139,49.9,9.8,267,98,40.5,11.6,100,70,7.6,5.3,36,41,36.0,37.3,0,11,0.0,2.2,0,11,-,**,95,69,7.2,5.3,27,44,28.4,38.5
1400000US36005007400,36005007400,"Census Tract 74, Bronx County, New York",1383,67,(X),(X),111,69,8.0,5.1,662,103,47.9,7.5,111,69,16.8,10.4,0,11,0.0,2.1,0,11,-,**,10,16,0.7,1.2,0,11,0.0,90.1,17,19,1.2,1.4,0,11,0.0,69.1
1400000US36005007500,36005007500,"Census Tract 75, Bronx County, New York",2221,111,(X),(X),256,90,11.5,3.9,1122,118,50.5,5.2,249,88,22.2,7.5,101,69,4.5,3.1,0,16,0.0,25.3,0,16,0.0,1.3,0,16,-,**,7,11,0.3,0.5,7,11,100.0,100.0
1400000US36005007600,36005007600,"Census Tract 76, Bronx County, New York",1596,84,(X),(X),334,115,20.9,7.0,895,115,56.1,6.8,328,114,36.6,10.8,70,47,4.4,3.0,6,9,8.6,15.3,0,16,0.0,1.9,0,16,-,**,51,54,3.2,3.4,0,16,0.0,39.9
1400000US36005007700,36005007700,"Census Tract 77, Bronx County, New York",629,28,(X),(X),145,56,23.1,8.8,429,53,68.2,7.6,125,50,29.1,11.4,35,28,5.6,4.4,20,22,57.1,41.7,0,11,0.0,4.7,0,11,-,**,16,17,2.5,2.7,0,11,0.0,71.2
1400000US36005007800,36005007800,"Census Tract 78, Bronx County, New York",1999,138,(X),(X),446,194,22.3,9.2,1326,195,66.3,8.1,393,189,29.6,13.0,135,100,6.8,5.0,40,62,29.6,40.7,50,54,2.5,2.7,13,21,26.0,44.7,30,51,1.5,2.6,0,16,0.0,52.0
1400000US36005007900,36005007900,"Census Tract 79, Bronx County, New York",2293,131,(X),(X),737,194,32.1,8.0,1583,196,69.0,7.3,685,186,43.3,10.1,30,49,1.3,2.1,30,49,100.0,52.0,0,16,0.0,1.3,0,16,-,**,85,78,3.7,3.4,22,34,25.9,48.3
1400000US36005008300,36005008300,"Census Tract 83, Bronx County, New York",2120,90,(X),(X),837,177,39.5,7.9,1585,159,74.8,6.4,764,166,48.2,8.5,36,34,1.7,1.6,11,17,30.6,43.7,35,39,1.7,1.8,35,39,100.0,48.2,78,65,3.7,3.1,27,44,34.6,46.1
1400000US36005008400,36005008400,"Census Tract 84, Bronx County, New York",719,37,(X),(X),58,39,8.1,5.4,471,56,65.5,7.0,58,39,12.3,8.1,36,29,5.0,4.1,0,11,0.0,47.5,0,11,0.0,4.1,0,11,-,**,47,27,6.5,3.8,0,11,0.0,41.6
1400000US36005008500,36005008500,"Census Tract 85, Bronx County, New York",1906,76,(X),(X),508,140,26.7,7.2,1459,141,76.5,6.6,475,142,32.6,8.7,0,16,0.0,1.6,0,16,-,**,17,26,0.9,1.3,17,26,100.0,69.1,44,49,2.3,2.6,16,25,36.4,57.8
1400000US36005008600,36005008600,"Census Tract 86, Bronx County, New York",1449,45,(X),(X),331,101,22.8,7.0,866,93,59.8,5.8,297,100,34.3,10.7,0,11,0.0,2.0,0,11,-,**,34,39,2.3,2.7,34,39,100.0,48.9,0,11,0.0,2.0,0,11,-,**
1400000US36005008700,36005008700,"Census Tract 87, Bronx County, New York",1950,76,(X),(X),489,128,25.1,6.5,1403,100,71.9,4.4,457,121,32.6,7.9,16,17,0.8,0.9,8,12,50.0,50.0,0,16,0.0,1.5,0,16,-,**,24,29,1.2,1.5,24,29,100.0,58.2
1400000US36005008900,36005008900,"Census Tract 89, Bronx County, New York",1160,70,(X),(X),358,98,30.9,7.9,947,86,81.6,5.4,358,98,37.8,9.5,15,22,1.3,1.9,0,11,0.0,73.6,6,13,0.5,1.2,0,11,0.0,100.0,0,11,0.0,2.5,0,11,-,**
1400000US36005009000,36005009000,"Census Tract 90, Bronx County, New York",1183,64,(X),(X),175,78,14.8,6.6,831,111,70.2,7.9,168,77,20.2,9.0,0,11,0.0,2.5,0,11,-,**,27,34,2.3,2.9,7,12,25.9,46.8,0,11,0.0,2.5,0,11,-,**
1400000US36005009200,36005009200,"Census Tract 92, Bronx County, New York",1805,71,(X),(X),333,112,18.4,6.1,1008,131,55.8,6.6,267,98,26.5,8.9,182,66,10.1,3.7,47,40,25.8,19.1,57,37,3.2,2.0,19,24,33.3,35.4,52,44,2.9,2.4,0,16,0.0,39.5
1400000US36005009300,36005009300,"Census Tract 93, Bronx County, New York",1665,108,(X),(X),406,116,24.4,6.7,1119,130,67.2,6.5,388,109,34.7,8.1,92,57,5.5,3.5,18,25,19.6,26.4,0,16,0.0,1.8,0,16,-,**,51,39,3.1,2.4,0,16,0.0,39.9
1400000US36005009600,36005009600,"Census Tract 96, Bronx County, New York",747,47,(X),(X),113,47,15.1,6.2,429,57,57.4,6.5,86,43,20.0,9.7,105,36,14.1,4.9,17,14,16.2,13.5,16,13,2.1,1.8,10,10,62.5,45.8,17,14,2.3,1.9,0,11,0.0,69.1
1400000US36005009800,36005009800,"Census Tract 98, Bronx County, New York",1755,80,(X),(X),187,94,10.7,5.3,1050,124,59.8,6.5,161,92,15.3,8.3,36,48,2.1,2.7,0,16,0.0,47.5,37,28,2.1,1.6,13,20,35.1,42.7,22,25,1.3,1.4,13,20,59.1,59.1
1400000US36005011000,36005011000,"Census Tract 110, Bronx County, New York",56,37,(X),(X),13,22,23.2,34.8,56,37,100.0,38.1,13,22,23.2,34.8,0,11,0.0,38.1,0,11,-,**,0,11,0.0,38.1,0,11,-,**,0,11,0.0,38.1,0,11,-,**
1400000US36005011502,36005011502,"Census Tract 115.02, Bronx County, New York",1315,91,(X),(X),503,128,38.3,9.0,940,115,71.5,6.3,490,129,52.1,11.6,68,43,5.2,3.3,0,11,0.0,33.9,10,14,0.8,1.0,0,11,0.0,90.1,34,29,2.6,2.2,13,18,38.2,43.6
1400000US36005011700,36005011700,"Census Tract 117, Bronx County, New York",562,46,(X),(X),95,50,16.9,8.9,345,54,61.4,7.8,79,46,22.9,13.0,21,26,3.7,4.5,16,25,76.2,47.9,0,11,0.0,5.2,0,11,-,**,38,29,6.8,5.2,0,11,0.0,46.2
1400000US36005011800,36005011800,"Census Tract 118, Bronx County, New York",1490,89,(X),(X),68,55,4.6,3.7,288,85,19.3,5.5,59,53,20.5,17.5,155,64,10.4,4.4,9,13,5.8,8.5,63,53,4.2,3.5,0,16,0.0,35.6,8,13,0.5,0.9,0,16,0.0,100.0
1400000US36005011900,36005011900,"Census Tract 119, Bronx County, New York",1860,109,(X),(X),548,114,29.5,5.9,1209,114,65.0,5.3,520,111,43.0,8.2,28,32,1.5,1.8,28,32,100.0,53.8,0,16,0.0,1.6,0,16,-,**,45,47,2.4,2.6,0,16,0.0,42.5
1400000US36005012101,36005012101,"Census Tract 121.01, Bronx County, New York",875,63,(X),(X),204,60,23.3,6.4,582,72,66.5,6.8,182,58,31.3,8.9,18,18,2.1,2.0,4,8,22.2,45.3,4,7,0.5,0.8,4,7,100.0,100.0,42,25,4.8,2.9,14,17,33.3,34.2
1400000US36005012102,36005012102,"Census Tract 121.02, Bronx County, New York",511,35,(X),(X),88,51,17.2,10.0,447,43,87.5,6.3,88,51,19.7,11.4,6,8,1.2,1.7,0,11,0.0,100.0,0,11,0.0,5.7,0,11,-,**,0,11,0.0,5.7,0,11,-,**
1400000US36005012300,36005012300,"Census Tract 123, Bronx County, New York",1466,100,(X),(X),312,96,21.3,6.6,939,136,64.1,7.7,303,95,32.3,9.1,26,21,1.8,1.5,0,11,0.0,55.9,9,14,0.6,1.0,9,14,100.0,95.0,27,30,1.8,2.1,0,11,0.0,54.8
1400000US36005012500,36005012500,"Census Tract 125, Bronx County, New York",1398,64,(X),(X),277,92,19.8,6.5,905,109,64.7,6.6,265,94,29.3,9.7,31,31,2.2,2.2,0,11,0.0,51.2,22,26,1.6,1.9,12,19,54.5,54.5,72,48,5.2,3.4,0,11,0.0,32.7
1400000US36005012701,36005012701,"Census Tract 127.01, Bronx County, New York",739,60,(X),(X),187,59,25.3,7.9,532,73,72.0,8.5,178,59,33.5,10.1,0,11,0.0,4.0,0,11,-,**,18,18,2.4,2.4,9,11,50.0,43.9,0,11,0.0,4.0,0,11,-,**
1400000US36005012901,36005012901,"Census Tract 129.01, Bronx County, New York",1437,78,(X),(X),386,94,26.9,6.6,802,108,55.8,7.3,358,97,44.6,10.2,75,52,5.2,3.6,28,28,37.3,40.7,0,11,0.0,2.1,0,11,-,**,33,30,2.3,2.1,0,11,0.0,49.6
1400000US36005013000,36005013000,"Census Tract 130, Bronx County, New York",483,19,(X),(X),6,9,1.2,1.9,197,57,40.8,10.9,0,11,0.0,14.1,34,21,7.0,4.5,6,9,17.6,22.8,0,11,0.0,6.0,0,11,-,**,12,18,2.5,3.7,0,11,0.0,82.3
1400000US36005013100,36005013100,"Census Tract 131, Bronx County, New York",1627,90,(X),(X),303,96,18.6,5.8,978,137,60.1,7.7,256,84,26.2,7.9,80,58,4.9,3.5,0,16,0.0,30.3,0,16,0.0,1.8,0,16,-,**,106,67,6.5,4.2,47,54,44.3,34.9
1400000US36005013200,36005013200,"Census Tract 132, Bronx County, New York",2453,106,(X),(X),122,80,5.0,3.3,1053,256,42.9,9.8,0,16,0.0,2.8,275,121,11.2,5.0,95,81,34.5,26.3,27,33,1.1,1.4,27,33,100.0,54.8,28,30,1.1,1.2,0,16,0.0,53.8
1400000US36005013300,36005013300,"Census Tract 133, Bronx County, New York",2250,161,(X),(X),353,145,15.7,6.6,1221,144,54.3,5.6,353,145,28.9,11.7,0,16,0.0,1.3,0,16,-,**,0,16,0.0,1.3,0,16,-,**,56,61,2.5,2.7,0,16,0.0,38.1
1400000US36005013500,36005013500,"Census Tract 135, Bronx County, New York",1339,73,(X),(X),200,81,14.9,6.0,775,112,57.9,7.3,170,74,21.9,9.5,41,39,3.1,3.0,19,29,46.3,48.5,0,11,0.0,2.2,0,11,-,**,74,56,5.5,4.2,11,16,14.9,23.6
1400000US36005013800,36005013800,"Census Tract 138, Bronx County, New York",1161,82,(X),(X),28,30,2.4,2.6,257,105,22.1,8.8,0,11,0.0,11.0,129,68,11.1,5.6,0,11,0.0,20.6,28,24,2.4,2.1,17,27,60.7,60.7,22,17,1.9,1.5,11,16,50.0,50.0
